block_number,miner_reward,fee_recipient_eth_diff,miner,fee_recipient,coinbase_transfers,eth_sent_to_fee_recipient,gas_used,gas_price,effective_priority_fee
18907503,127078164560962303,127078164560962303,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,49210568654268000,49210568654268000,17848841,7119687186,7119687186
18907458,51652681617086073,51652681617086073,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,2500000000000000,2500000000000000,26315375,1962832816,1962832816
18907454,15730880176769022,15730880176769022,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,9595596,1639385419,1639385419
18907442,27081558345655558,27081558345655558,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,16070734,1685147569,1685147569
18907420,33999404474630518,33999404474630518,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,15002492988846918,15002492988846918,10095514,3367773495,3367773495
18907359,43881363941601425,43881363941601425,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,8326441938524,8326441938524,29100185,1507941064,1507941064
18907333,24191436444573460,24191436444573460,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,12475507,1939114494,1939114494
18907309,60177275549787402,60177275549787402,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,9824869913451042,9824869913451042,24634169,2442837651,2442837651
18907302,26882036578988288,26882036578988288,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,19096799,1407672384,1407672384
18907240,23937544466555740,23937544466555740,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,9872855,2424581791,2424581791
18907143,11840291560349823,11840291560349823,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,13084965,904877587,904877587
18906813,11764229146370245,11764229146370245,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,1791310440793340,1791310440793340,12315949,955202814,955202814
18906780,70287701235722795,70287701235722795,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,12450597,5645327789,5645327789
18906779,227155923170946359,227155923170946359,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,18434154180435964,18434154180435964,10058440,22583613678,22583613678
18906766,31013193924674214,31013193924674214,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,9545443371881090,9545443371881090,11217403,2764739211,2764739211
18906762,12441424578659117,12441424578659117,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,1828037421332034,1828037421332034,9698301,1282845786,1282845786
18906686,28858966341510579,28858966341510579,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,12886238,2239518340,2239518340
18906576,23740702910241736,23740702910241736,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,7329734997641496,7329734997641496,17465035,1359327531,1359327531
18906468,14834581808964237,14834581808964237,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,12466043,1189999249,1189999249
18906437,32853261878724919,32853261878724919,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,10433073,3148953513,3148953513
18906417,110649161325883851,110649161325883851,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,15022208,7365705582,7365705582
18906401,186094320516970915,186094320516970915,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,13898573,13389455199,13389455199
18906334,22224018057654387,22224018057654387,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,946185800708647,946185800708647,11720701,1896133862,1896133862
18906325,46721848679318113,46721848679318113,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,27524364329135000,27524364329135000,18666676,2502954927,2502954927
18906313,21066271627251102,21066271627251102,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,825687156201935,825687156201935,11679750,1803657751,1803657751
18906290,30069716735748337,30069716735748337,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,15139645,1986157319,1986157319
18906257,32442453080186216,32442453080186216,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,6397561581983999,6397561581983999,11626648,2790353082,2790353082
18906241,24951434882911513,24951434882911513,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,16931484,1473670877,1473670877
18906216,33640198438377238,33640198438377238,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,5492903020595750,5492903020595750,17524717,1919585830,1919585830
18906198,49157607143687848,49157607143687848,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,5717430,8597850283,8597850283
18906197,23690367688433822,23690367688433822,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,19651637,1205516247,1205516247
18906182,33062818029182118,33062818029182118,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0,0,9842292,3359260020,3359260020
18906164,32322208784715077,32322208784715077,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,0xDAFEA492D9c6733ae3d56b7Ed1ADB60692c98Bc5,13444918924752000,13444918924752000,13032156,2480188910,2480188910
